Timestep,Oligomers,Aggregates
0,0,0
1,2,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,2,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,4,0
24,6,0
25,6,0
26,6,0
27,6,0
28,6,0
29,6,0
30,6,0
31,6,0
32,6,0
33,6,0
34,6,0
35,6,0
36,4,0
37,4,0
38,2,0
39,4,0
40,4,0
41,6,0
42,6,0
43,6,0
44,6,0
45,6,0
46,6,0
47,6,0
48,4,0
49,2,4
50,2,4
51,2,4
52,2,4
53,2,4
54,4,4
55,4,4
56,4,4
57,4,4
58,4,4
59,4,5
60,4,5
61,2,8
62,2,8
63,2,8
64,2,8
65,2,8
66,2,9
67,2,9
68,2,10
69,2,10
70,0,13
71,0,14
72,0,14
73,0,14
74,0,14
75,0,15
76,0,16
77,0,16
78,0,16
79,0,16
80,0,16
81,0,17
82,0,17
83,0,19
84,0,20
85,0,20
86,0,20
87,0,21
88,0,21
89,0,21
90,0,21
91,0,21
92,0,21
93,0,21
94,0,21
95,0,21
96,0,21
97,0,21
98,0,21
99,0,21
100,0,21
101,0,21
102,0,21
103,0,21
104,0,21
105,0,21
106,0,21
107,0,21
108,0,21
109,0,21
110,0,21
111,0,21
112,0,21
113,0,21
114,0,21
115,0,21
116,0,21
117,0,21
118,0,21
119,0,21
120,0,21
121,0,22
122,0,22
123,0,22
124,0,22
125,0,22
126,0,22
127,0,22
128,0,22
129,0,22
130,0,22
131,0,22
132,0,22
133,0,22
134,0,22
135,0,22
136,0,22
137,0,22
138,0,23
139,0,23
140,0,23
141,0,23
142,0,23
143,0,23
144,0,23
145,0,23
146,0,23
147,0,23
148,0,23
149,0,23
150,0,23
151,0,24
152,0,24
153,0,24
154,0,24
155,0,24
156,0,24
157,0,24
158,0,24
159,0,24
160,0,24
161,0,24
162,0,24
163,0,24
164,0,24
165,0,24
166,0,24
167,0,24
168,0,24
169,0,24
170,0,24
171,0,24
172,0,24
173,0,24
174,0,24
175,0,24
176,0,24
177,0,24
178,0,24
179,0,24
180,0,24
181,0,24
182,0,24
183,0,24
184,0,24
185,0,24
186,0,24
187,0,24
188,0,24
189,0,24
190,0,24
191,0,24
192,0,24
193,0,24
194,0,24
195,0,24
196,0,24
197,0,24
198,0,24
199,0,24
200,0,24
201,0,24
202,0,24
203,0,24
204,0,24
205,0,24
206,0,24
207,0,24
208,0,24
209,0,24
210,0,24
211,0,24
212,0,24
213,0,24
214,0,24
215,0,24
216,0,24
217,0,24
218,0,24
219,0,24
220,0,24
221,0,24
222,0,24
223,0,24
224,0,24
225,0,24
226,0,24
227,0,24
228,0,24
229,0,24
230,0,24
231,0,24
232,0,24
233,0,24
234,0,24
235,0,24
236,0,24
237,0,24
238,0,24
239,0,24
240,0,24
241,0,24
242,0,24
243,0,24
244,0,24
245,0,24
246,0,24
247,0,24
248,0,24
249,0,24
250,0,24
